archivo,duracion_total,audio_util,porcentaje_audio,num_frases,rms_mean,rms_std,rango_dinamico,clase
33_4_21_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
35_4_21_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
35_4_22_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
36_4_23_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
37_4_23_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
38_4_22_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
39_4_23_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
3_4_18_2026_Banamex_grabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
3_4_21_2026_Banamex_grabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
3_4_22_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
3_4_23_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
3_4_24_2026_Banamex_grabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
40_4_23_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
45_2_13_2025_GNPgrabacion3.wav,45.0,38.688,85.97333333333333,1,0.11441191285848618,0.0028106586541980505,0.04682576656341553,ivr_limpio
48_4_21_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
48_4_22_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
4_4_22_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
55_4_21_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
57_4_21_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
57_4_21_2026_BBVAgrabacion_1.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
6_4_18_2026_Banamex_grabacion_0.wav,30.0,0.128,0.4266666666666667,1,0.0,0.0,0.0,vacio
6_4_18_2026_Banamex_grabacion_1.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
7_4_18_2026_Banamex_grabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
7_4_20_2026_Banamex_grabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
7_4_23_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
8_4_21_2026_Banamex_grabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
8_4_22_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
8_4_23_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
99_12_18_2024_CNOCgrabacion3_d.wav,45.0,27.72,61.6,5,0.15192466974258423,0.06672212481498718,0.2661348283290863,gris
9_4_19_2026_Banamex_grabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
9_4_20_2026_Banamex_grabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
